Gene	ensembl_id
IL5	ENSG00000113525
IRF1	ENSG00000125347
KIF3A	ENSG00000131437
LEAP2	ENSG00000164406
P4HA2	ENSG00000072682
RAD50	ENSG00000113522
SLC22A5	ENSG00000197375
UQCRQ	ENSG00000164405
PPM1B	ENSG00000138032
PREPL	ENSG00000138078
SLC3A1	ENSG00000138079
CCL26	ENSG00000006606
FAM155A	ENSG00000204442
ANG	ENSG00000214274
RNASE4	ENSG00000258818
LRP1	ENSG00000123384
NXPH4	ENSG00000182379
SHMT2	ENSG00000182199
SLC26A10	ENSG00000135502
CFH	ENSG00000000971
CFHR2	ENSG00000080910
CFHR4	ENSG00000134365
CFHR5	ENSG00000134389
COX7B2	ENSG00000170516
GABRA4	ENSG00000109158
IDE	ENSG00000119912
HTR2A	ENSG00000102468
SCN1A	ENSG00000144285
TTC21B	ENSG00000123607
ANO9	ENSG00000185101
B4GALNT4	ENSG00000182272
C11orf35	ENSG00000185522
CD151	ENSG00000177697
DEAF1	ENSG00000177030
EPS8L2	ENSG00000177106
HRAS	ENSG00000174775
LRRC56	ENSG00000161328
PKP3	ENSG00000184363
PTDSS2	ENSG00000174915
RASSF7	ENSG00000099849
RIC8A	ENSG00000177963
RNH1	ENSG00000023191
RPLP2	ENSG00000177600
TMEM80	ENSG00000177042
TSPAN4	ENSG00000214063
B9D2	ENSG00000123810
TGFB1	ENSG00000105329
ERBB4	ENSG00000178568
MARCH9	ENSG00000139266
NAB2	ENSG00000166886
STAT6	ENSG00000166888
COL2A1	ENSG00000139219
VDR	ENSG00000111424
TCF7L2	ENSG00000148737
C1orf123	ENSG00000162384
CPT2	ENSG00000157184
ECHDC2	ENSG00000121310
LRP8	ENSG00000157193
MAGOH	ENSG00000162385
APBB2	ENSG00000163697
TNFSF4	ENSG00000117586
GSK3B	ENSG00000082701
LRRC58	ENSG00000163428
NR1I2	ENSG00000144852
UBQLN1	ENSG00000135018
C9orf78	ENSG00000136819
TOR1A	ENSG00000136827
TOR1B	ENSG00000136816
USP20	ENSG00000136878
SORBS1	ENSG00000095637
FGF20	ENSG00000078579
IFIH1	ENSG00000115267
KCNH7	ENSG00000184611
DTNBP1	ENSG00000047579
JARID2	ENSG00000008083
MAGI2	ENSG00000187391
CAMK1G	ENSG00000008118
IRF6	ENSG00000117595
LAMB3	ENSG00000196878
IRF5	ENSG00000128604
SMO	ENSG00000128602
TNPO3	ENSG00000064419
TAAR5	ENSG00000135569
TAAR6	ENSG00000146383
ERCC6	ENSG00000225830
FAM21B	ENSG00000099290
PGBD3	ENSG00000243251
WDFY4	ENSG00000128815
GLDN	ENSG00000186417
HDC	ENSG00000140287
LEO1	ENSG00000166477
MAPK6	ENSG00000069956
MYEF2	ENSG00000104177
SEMA6D	ENSG00000137872
SLC24A5	ENSG00000188467
SLC28A2	ENSG00000137860
TMOD3	ENSG00000138594
TNFAIP8L3	ENSG00000183578
TRPM7	ENSG00000092439
USP8	ENSG00000138592
A2M	ENSG00000175899
KLRG1	ENSG00000139187
PHC1	ENSG00000111752
PZP	ENSG00000126838
DGCR14	ENSG00000100056
TBX1	ENSG00000184058
TSSK2	ENSG00000206203
C5	ENSG00000106804
GSN	ENSG00000148180
PHF19	ENSG00000119403
PSMD5	ENSG00000095261
RAB14	ENSG00000119396
TRAF1	ENSG00000056558
ADD1	ENSG00000087274
DOK7	ENSG00000175920
GRK4	ENSG00000125388
HTT	ENSG00000197386
RGS12	ENSG00000159788
RNF4	ENSG00000063978
KCNE1	ENSG00000180509
OCA2	ENSG00000104044
ARID3B	ENSG00000179361
CLK3	ENSG00000179335
CSK	ENSG00000103653
CYP1A2	ENSG00000140505
EDC3	ENSG00000179151
MPI	ENSG00000178802
PPCDC	ENSG00000138621
SEMA7A	ENSG00000138623
UBL7	ENSG00000138629
DAB2IP	ENSG00000136848
BCKDK	ENSG00000103507
BCL7C	ENSG00000099385
BRD4	ENSG00000141867
C10orf129	ENSG00000173124
C16orf93	ENSG00000196118
CTF1	ENSG00000150281
CYP2C18	ENSG00000108242
CYP2C19	ENSG00000165841
CYP2C8	ENSG00000138115
CYP2C9	ENSG00000138109
CYP4F12	ENSG00000186204
CYP4F2	ENSG00000186115
DCTPP1	ENSG00000179958
FBRS	ENSG00000156860
FBXL19	ENSG00000099364
FUS	ENSG00000089280
HELLS	ENSG00000119969
HSD3B7	ENSG00000099377
ITGAL	ENSG00000005844
ITGAM	ENSG00000169896
ITGAX	ENSG00000140678
KAT8	ENSG00000103510
ORAI3	ENSG00000175938
PDLIM1	ENSG00000107438
PHKG2	ENSG00000156873
PPP4C	ENSG00000149923
PRR14	ENSG00000156858
PRSS36	ENSG00000178226
PRSS53	ENSG00000151006
PRSS8	ENSG00000052344
PYCARD	ENSG00000103490
PYDC1	ENSG00000169900
RNF40	ENSG00000103549
SEPHS2	ENSG00000179918
SETD1A	ENSG00000099381
SRCAP	ENSG00000080603
STX1B	ENSG00000099365
STX4	ENSG00000103496
TBC1D12	ENSG00000108239
TCTN3	ENSG00000119977
TMEM219	ENSG00000149932
TRIM72	ENSG00000177238
VKORC1	ENSG00000167397
ZNF48	ENSG00000180035
ZNF629	ENSG00000102870
ZNF646	ENSG00000167395
ZNF668	ENSG00000167394
ZNF688	ENSG00000229809
ZNF689	ENSG00000156853
ZNF720	ENSG00000197302
ZNF747	ENSG00000169955
ZNF764	ENSG00000169951
ZNF768	ENSG00000169957
ZNF785	ENSG00000197162
F12	ENSG00000131187
CYP4V2	ENSG00000145476
F11	ENSG00000088926
F5	ENSG00000198734
FETUB	ENSG00000090512
GRK6	ENSG00000198055
HRG	ENSG00000113905
KLKB1	ENSG00000164344
KNG1	ENSG00000113889
PFN3	ENSG00000196570
RGS14	ENSG00000169220
SELL	ENSG00000188404
SELP	ENSG00000174175
IKZF1	ENSG00000185811
ARID5B	ENSG00000150347
DDC	ENSG00000132437
FIGNL1	ENSG00000132436
GRB10	ENSG00000106070
ZPBP	ENSG00000042813
TP63	ENSG00000073282
CNIH	ENSG00000100528
ERO1L	ENSG00000197930
MDGA2	ENSG00000139915
POLE2	ENSG00000100479
PYGL	ENSG00000100504
SAMD4A	ENSG00000020577
DNAJB11	ENSG00000090520
EIF4A2	ENSG00000156976
RFC4	ENSG00000163918
RPL39L	ENSG00000163923
ST6GAL1	ENSG00000073849
TBCCD1	ENSG00000113838
CDH13	ENSG00000140945
RNASET2	ENSG00000026297
RPS6KA2	ENSG00000071242
ST6GALNAC3	ENSG00000184005
TIMP2	ENSG00000035862
ADIPOQ	ENSG00000181092
ALAS1	ENSG00000023330
ATP6V0A2	ENSG00000185344
CENPN	ENSG00000166451
CMIP	ENSG00000153815
DNAH1	ENSG00000114841
GLT8D1	ENSG00000016864
GLYCTK	ENSG00000168237
GNL3	ENSG00000163938
ITIH1	ENSG00000055957
ITIH3	ENSG00000162267
ITIH4	ENSG00000055955
MUSTN1	ENSG00000272573
NEK4	ENSG00000114904
NISCH	ENSG00000010322
NSMCE2	ENSG00000156831
NT5DC2	ENSG00000168268
PBRM1	ENSG00000163939
PHF7	ENSG00000010318
PPM1M	ENSG00000164088
RPL29	ENSG00000162244
SEMA3G	ENSG00000010319
SPCS1	ENSG00000114902
STAB1	ENSG00000010327
TKT	ENSG00000163931
TMEM110	ENSG00000213533
TMEM110-MUSTN1	ENSG00000248592
TNNC1	ENSG00000114854
TWF2	ENSG00000247596
WDR82	ENSG00000164091
TFAP2B	ENSG00000008196
FTO	ENSG00000140718
PLA2G12A	ENSG00000123739
ARMS2	ENSG00000254636
C3	ENSG00000125730
CETP	ENSG00000087237
COL10A1	ENSG00000123500
FRK	ENSG00000111816
HTRA1	ENSG00000166033
NLRC5	ENSG00000140853
NT5DC1	ENSG00000178425
TMEM151B	ENSG00000178233
TSPYL4	ENSG00000187189
TNFRSF10A	ENSG00000104689
CFHR3	ENSG00000116785
LRP1B	ENSG00000168702
STXBP5L	ENSG00000145087
PARD3B	ENSG00000116117
AGPHD1	ENSG00000188266
CHRNA3	ENSG00000080644
CHRNA5	ENSG00000169684
CHRNB4	ENSG00000117971
HTR4	ENSG00000164270
IREB2	ENSG00000136381
ABCC1	ENSG00000103222
COMMD2	ENSG00000114744
ECE1	ENSG00000117298
MAPK10	ENSG00000109339
NDUFS4	ENSG00000164258
RNF13	ENSG00000082996
TLN2	ENSG00000171914
TXNRD1	ENSG00000198431
CCDC63	ENSG00000173093
MYL2	ENSG00000111245
OAS3	ENSG00000111331
LRRC16A	ENSG00000079691
SLC17A2	ENSG00000112337
SLC17A3	ENSG00000124564
TF	ENSG00000091513
CDV3	ENSG00000091527
PGM1	ENSG00000079739
RAB6B	ENSG00000154917
SRPRB	ENSG00000144867
TOPBP1	ENSG00000163781
MREG	ENSG00000118242
PECR	ENSG00000115425
CTLA4	ENSG00000163599
IL2RA	ENSG00000134460
RAET1L	ENSG00000155918
ULBP3	ENSG00000131019
KIF20B	ENSG00000138182
SLC16A12	ENSG00000152779
ST8SIA5	ENSG00000101638
APOC1	ENSG00000130208
MS4A14	ENSG00000166928
MS4A5	ENSG00000166930
CLU	ENSG00000120885
BCL3	ENSG00000069399
CEACAM19	ENSG00000186567
CLASRP	ENSG00000104859
ERCC2	ENSG00000104884
RELB	ENSG00000104856
TOMM40	ENSG00000130204
ABCA7	ENSG00000064687
MS4A2	ENSG00000149534
TCN1	ENSG00000134827
APOE	ENSG00000130203
ZNF226	ENSG00000167380
MS4A6A	ENSG00000110077
FRMD4A	ENSG00000151474
MTHFD1L	ENSG00000120254
EXOC3L2	ENSG00000283632
BIN1	ENSG00000136717
CCDC81	ENSG00000149201
CD2AP	ENSG00000198087
CD33	ENSG00000105383
EPHA1	ENSG00000146904
GPR111	ENSG00000164393
MS4A4A	ENSG00000110079
MS4A4E	ENSG00000214787
PICALM	ENSG00000073921
SYTL2	ENSG00000137501
ALG8	ENSG00000159063
BCAM	ENSG00000187244
BLOC1S3	ENSG00000189114
CBLC	ENSG00000142273
CR1	ENSG00000203710
ERCC1	ENSG00000012061
FBXO46	ENSG00000177051
GAB2	ENSG00000033327
GEMIN7	ENSG00000142252
INTS4	ENSG00000149262
KCTD21	ENSG00000188997
NARS2	ENSG00000137513
NDUFC2	ENSG00000151366
NKPD1	ENSG00000179846
PAK1	ENSG00000149269
PVRL2	ENSG00000130202
SIX5	ENSG00000177045
TRAPPC6A	ENSG00000007255
USP35	ENSG00000118369
GTF2H1	ENSG00000110768
HPS5	ENSG00000110756
LDHA	ENSG00000134333
LDHC	ENSG00000166796
LEPR	ENSG00000116678
MRGPRX3	ENSG00000179826
PTPN5	ENSG00000110786
RP11-113D6.10	NA
RP11-113D6.6	NA
SAA1	ENSG00000173432
SAAL1	ENSG00000166788
TMEM86A	ENSG00000151117
TSG101	ENSG00000074319
UEVLD	ENSG00000151116
UNC13A	ENSG00000130477
C9orf72	ENSG00000147894
IFNK	ENSG00000147896
ALOX15B	ENSG00000179593
ATP1B2	ENSG00000129244
EIF4A1	ENSG00000161960
FXR2	ENSG00000129245
JMJD1C	ENSG00000171988
MPDU1	ENSG00000129255
NRBF2	ENSG00000148572
REEP3	ENSG00000165476
SAT2	ENSG00000141504
SENP3	ENSG00000161956
SHBG	ENSG00000129214
TNFSF12	ENSG00000239697
TNFSF12-TNFSF13	ENSG00000248871
TNFSF13	ENSG00000161955
ACE	ENSG00000159640
CDKN2B	ENSG00000147883
LIX1	ENSG00000145721
LNPEP	ENSG00000113441
RIOK2	ENSG00000058729
FAM161A	ENSG00000170264
C1orf106	ENSG00000163362
CACNA1S	ENSG00000081248
CAST	ENSG00000153113
DDX59	ENSG00000118197
ERAP1	ENSG00000164307
ERAP2	ENSG00000164308
IGFN1	ENSG00000163395
IL23R	ENSG00000162594
KIF21B	ENSG00000116852
LTBR	ENSG00000111321
RCAN3	ENSG00000117602
RHCE	ENSG00000188672
RUNX3	ENSG00000020633
SRRM1	ENSG00000133226
SYF2	ENSG00000117614
TMEM50A	ENSG00000183726
TMEM57	ENSG00000204178
ACSS2	ENSG00000131069
CEP250	ENSG00000126001
EDEM2	ENSG00000088298
GGT7	ENSG00000131067
GSS	ENSG00000100983
MMP24	ENSG00000125966
MYH7B	ENSG00000078814
NCOA6	ENSG00000198646
PROCR	ENSG00000101000
SPAG4	ENSG00000061656
TP53INP2	ENSG00000078804
TRPC4AP	ENSG00000100991
MNT	ENSG00000070444
PRDM6	ENSG00000061455
SMG6	ENSG00000070366
SRR	ENSG00000167720
WDR81	ENSG00000167716
PYROXD2	ENSG00000119943
ADORA1	ENSG00000163485
CHI3L1	ENSG00000133048
MYBPH	ENSG00000133055
CRB1	ENSG00000134376
DENND1B	ENSG00000213047
CDK12	ENSG00000167258
CSF3	ENSG00000108342
ERBB2	ENSG00000141736
GRB7	ENSG00000141738
GSDMA	ENSG00000167914
GSDMB	ENSG00000073605
MED1	ENSG00000125686
PGAP3	ENSG00000161395
PNMT	ENSG00000141744
PSMD3	ENSG00000108344
RAPGEFL1	ENSG00000108352
RARA	ENSG00000131759
STARD3	ENSG00000131748
TOP2A	ENSG00000131747
WIPF2	ENSG00000171475
ZPBP2	ENSG00000186075
ACER3	ENSG00000078124
ADAD1	ENSG00000164113
AGPAT3	ENSG00000160216
AHSA2	ENSG00000173209
AMT	ENSG00000145020
ANXA6	ENSG00000197043
APEH	ENSG00000164062
APLF	ENSG00000169621
ARHGAP25	ENSG00000163219
ARHGAP31	ENSG00000031081
ARIH2	ENSG00000177479
ATG16L1	ENSG00000085978
ATXN2	ENSG00000204842
BACH2	ENSG00000112182
BRAP	ENSG00000089234
BSN	ENSG00000164061
C11orf30	ENSG00000158636
C21orf33	ENSG00000160221
C2orf82	ENSG00000182600
C3orf62	ENSG00000188315
CCDC122	ENSG00000151773
CCNY	ENSG00000108100
CCR1	ENSG00000163823
CCR2	ENSG00000121807
CCR3	ENSG00000183625
CCR5	ENSG00000160791
CCR6	ENSG00000112486
CCRL2	ENSG00000121797
CD74	ENSG00000019582
CD80	ENSG00000121594
CDKAL1	ENSG00000145996
COX17	ENSG00000138495
CREM	ENSG00000095794
CSF2	ENSG00000164400
CUL2	ENSG00000108094
CXCR6	ENSG00000172215
DAG1	ENSG00000173402
DCTN4	ENSG00000132912
DGKD	ENSG00000077044
EGR2	ENSG00000122877
ETS1	ENSG00000134954
FBXO48	ENSG00000204923
FGFR1OP	ENSG00000213066
GM2A	ENSG00000196743
GPX1	ENSG00000233276
HSPB9	ENSG00000260325
ICOS	ENSG00000163600
ICOSLG	ENSG00000160223
IL18RAP	ENSG00000115607
IL2	ENSG00000109471
IL21	ENSG00000138684
INPP5D	ENSG00000168918
IP6K1	ENSG00000176095
IRGM	ENSG00000237693
ITLN1	ENSG00000179914
ITLN2	ENSG00000158764
KAT2A	ENSG00000108773
KIAA1109	ENSG00000138688
KLHDC8B	ENSG00000185909
KRTAP10-3	ENSG00000212935
KRTAP12-3	ENSG00000205439
KRTAP12-4	ENSG00000212933
LPP	ENSG00000145012
LRRK2	ENSG00000188906
LTF	ENSG00000012223
LY9	ENSG00000122224
MLX	ENSG00000108788
MMEL1	ENSG00000142606
MORN1	ENSG00000116151
MST1	ENSG00000173531
NAA25	ENSG00000111300
NDST1	ENSG00000070614
NICN1	ENSG00000145029
NKX2-3	ENSG00000119919
NUDT6	ENSG00000170917
PDLIM4	ENSG00000131435
PDXK	ENSG00000160209
PLA1A	ENSG00000144837
PLCH2	ENSG00000149527
PLEK	ENSG00000115956
PNO1	ENSG00000115946
PPP3R1	ENSG00000221823
PTPN11	ENSG00000179295
PTPN2	ENSG00000175354
PTPN22	ENSG00000134242
PTPRK	ENSG00000152894
PUS10	ENSG00000162927
PVT1	ENSG00000249859
QARS	ENSG00000172053
QRICH1	ENSG00000198218
RER1	ENSG00000157916
RGS1	ENSG00000090104
RHOA	ENSG00000067560
RNF123	ENSG00000164068
RP11-514O12.4	NA
RPS14	ENSG00000164587
RRP1	ENSG00000160214
RSBN1	ENSG00000081019
RSPH3	ENSG00000130363
SAG	ENSG00000130561
SH2B3	ENSG00000111252
SKI	ENSG00000157933
SLAMF8	ENSG00000158714
SLC22A4	ENSG00000197208
SLC2A13	ENSG00000151229
SLC9A4	ENSG00000180251
SPATA5	ENSG00000145375
STAT3	ENSG00000168610
STAT5A	ENSG00000126561
STAT5B	ENSG00000173757
TAGAP	ENSG00000164691
TCOF1	ENSG00000070814
TCP10	ENSG00000203690
TCTA	ENSG00000145022
THEMIS	ENSG00000172673
TMEM39A	ENSG00000176142
TNFRSF14	ENSG00000157873
TNFSF15	ENSG00000181634
TNFSF8	ENSG00000106952
TNIP1	ENSG00000145901
TRAFD1	ENSG00000135148
TRAPPC10	ENSG00000160218
TROVE2	ENSG00000116747
UBE2E3	ENSG00000170035
UCHL5	ENSG00000116750
UGT1A6	ENSG00000167165
UGT1A8	ENSG00000242366
USP19	ENSG00000172046
USP25	ENSG00000155313
USP4	ENSG00000114316
USP40	ENSG00000085982
WDR6	ENSG00000178252
WDR92	ENSG00000243667
ZMIZ1	ENSG00000108175
ZNF300	ENSG00000145908
ZNF365	ENSG00000138311
BLOC1S1	ENSG00000135441
CDK2	ENSG00000123374
DGKA	ENSG00000065357
ERBB3	ENSG00000065361
IKZF4	ENSG00000123411
INPP4B	ENSG00000109452
PA2G4	ENSG00000170515
RAB5B	ENSG00000111540
RPS26	ENSG00000197728
SLC39A5	ENSG00000139540
SUOX	ENSG00000139531
IKZF3	ENSG00000161405
IL18R1	ENSG00000115604
IL1R2	ENSG00000115590
IL1RL1	ENSG00000115602
MAP4K4	ENSG00000071054
MED24	ENSG00000008838
NR1D1	ENSG00000126368
ORMDL3	ENSG00000172057
PPP1R1B	ENSG00000131771
PYHIN1	ENSG00000163564
NOL7	ENSG00000225921
SLC30A8	ENSG00000164756
CYP27C1	ENSG00000186684
ERCC3	ENSG00000163161
FBXL20	ENSG00000108306
GALC	ENSG00000054983
GPR65	ENSG00000140030
IL1R1	ENSG00000115594
IL2RB	ENSG00000100385
IL33	ENSG00000137033
LIMS2	ENSG00000072163
MAP3K2	ENSG00000169967
NDFIP1	ENSG00000131507
NEUROD2	ENSG00000171532
PLXDC1	ENSG00000161381
PROC	ENSG00000115718
PVALB	ENSG00000100362
RNF186	ENSG00000178828
RORA	ENSG00000069667
SLC9A2	ENSG00000115616
SMAD3	ENSG00000166949
TCAP	ENSG00000173991
TPD52L3	ENSG00000170777
TSLP	ENSG00000145777
WDR36	ENSG00000134987
AKAP6	ENSG00000151320
PKNOX2	ENSG00000165495
CAMK4	ENSG00000152495
FLG	ENSG00000143631
FLG2	ENSG00000143520
HRNR	ENSG00000197915
LCE3B	ENSG00000187238
LCE3C	ENSG00000244057
SLC25A46	ENSG00000164209
TAB2	ENSG00000055208
TMEM232	ENSG00000186952
ZC3H12D	ENSG00000178199
ACTL9	ENSG00000181786
OVOL1	ENSG00000172818
CARD11	ENSG00000198286
GLB1	ENSG00000170266
OR10A3	ENSG00000170683
OR10A6	ENSG00000279000
TTYH3	ENSG00000136295
ATP8B2	ENSG00000143515
KCNN3	ENSG00000143603
KRTCAP2	ENSG00000163463
TRIM46	ENSG00000163462
ADK	ENSG00000156110
AGAP5	ENSG00000172650
AP3M1	ENSG00000185009
C9orf3	ENSG00000148120
CAMK2G	ENSG00000148660
CAV1	ENSG00000105974
CAV2	ENSG00000105971
CHCHD1	ENSG00000172586
FANCC	ENSG00000158169
FUT11	ENSG00000196968
HCN4	ENSG00000138622
MYOZ1	ENSG00000177791
NDST2	ENSG00000166507
PPP3CB	ENSG00000107758
PRRX1	ENSG00000116132
SEC24C	ENSG00000176986
ST7	ENSG00000004866
SYNPO2L	ENSG00000166317
TES	ENSG00000135269
TTC18	ENSG00000156042
USP54	ENSG00000166348
VCL	ENSG00000035403
ZFHX3	ENSG00000140836
CCR8	ENSG00000179934
CSRNP1	ENSG00000144655
GORASP1	ENSG00000114745
GPC6	ENSG00000183098
MOBP	ENSG00000168314
RPSA	ENSG00000168028
SLC25A38	ENSG00000144659
TTC21A	ENSG00000168026
WDR48	ENSG00000114742
CNTNAP2	ENSG00000174469
HIST3H3	ENSG00000168148
OBSCN	ENSG00000154358
PADI3	ENSG00000142619
PADI6	ENSG00000276747
RCC2	ENSG00000179051
C16orf55	ENSG00000167523
CHMP1A	ENSG00000131165
DBNDD1	ENSG00000003249
DEF8	ENSG00000140995
FANCA	ENSG00000187741
GAS8	ENSG00000141013
MC1R	ENSG00000258839
ZNF276	ENSG00000158805
IRF4	ENSG00000137265
FAIM3	ENSG00000162894
IL10	ENSG00000136634
IL19	ENSG00000142224
RASSF5	ENSG00000266094
MIER1	ENSG00000198160
DPP7	ENSG00000176978
FBXW5	ENSG00000159069
FUT7	ENSG00000180549
LCN12	ENSG00000184925
MAMDC4	ENSG00000177943
MAN1B1	ENSG00000177239
PHPT1	ENSG00000054148
SDCCAG3	ENSG00000165689
TRAF2	ENSG00000127191
UAP1L1	ENSG00000197355
BCL11A	ENSG00000119866
HBE1	ENSG00000213931
HBG1	ENSG00000213934
HBG2	ENSG00000196565
HBD	ENSG00000223609
OR51B2	ENSG00000279012
OR51B4	ENSG00000183251
OR51V1	ENSG00000176742
ADD3	ENSG00000148700
MXI1	ENSG00000119950
XPNPEP1	ENSG00000108039
WDR70	ENSG00000082068
FAM3A	ENSG00000071889
IAPP	ENSG00000121351
PLXNA3	ENSG00000130827
SLCO1A2	ENSG00000084453
SLCO1B1	ENSG00000134538
TRPM8	ENSG00000144481
UGT1A10	ENSG00000242515
UGT1A3	ENSG00000243135
UGT1A4	ENSG00000244474
UGT1A5	ENSG00000240224
UGT1A7	ENSG00000244122
UGT1A9	ENSG00000241119
ARMC9	ENSG00000135931
CHRNG	ENSG00000196811
SH3BP4	ENSG00000130147
SLCO1B3	ENSG00000111700
SP100	ENSG00000067066
TIGD1	ENSG00000221944
UGT1A1	ENSG00000241635
ARMC6	ENSG00000105676
ATP13A1	ENSG00000105726
BRE	ENSG00000158019
C9orf129	ENSG00000204352
CILP2	ENSG00000160161
CTAGE5	ENSG00000150527
FDX1L	ENSG00000267673
GATAD2A	ENSG00000167491
GNG4	ENSG00000168243
GPR137B	ENSG00000077585
GRIN3A	ENSG00000198785
HAPLN4	ENSG00000187664
ICAM3	ENSG00000076662
IGSF21	ENSG00000117154
LHFPL3	ENSG00000187416
MACROD1	ENSG00000133315
MAD1L1	ENSG00000002822
MAU2	ENSG00000129933
MEF2B	ENSG00000213999
NCAN	ENSG00000130287
NDUFA13	ENSG00000186010
NTF3	ENSG00000185652
OTUB1	ENSG00000167770
P2RY11	ENSG00000244165
PBX4	ENSG00000105717
PNN	ENSG00000100941
PPP3R2	ENSG00000188386
RAVER1	ENSG00000161847
SEC23A	ENSG00000100934
SUGP1	ENSG00000105705
TM6SF2	ENSG00000213996
TRAPPC6B	ENSG00000182400
TRPV3	ENSG00000167723
TSSK6	ENSG00000178093
WNK2	ENSG00000165238
YJEFN3	ENSG00000250067
ZGLP1	ENSG00000220201
ZNF101	ENSG00000181896
ZNF618	ENSG00000157657
ANK3	ENSG00000151150
CNNM4	ENSG00000158158
FAM178B	ENSG00000168754
LMAN2L	ENSG00000114988
SEMA4C	ENSG00000168758
TLR9	ENSG00000239732
TRANK1	ENSG00000168016
ADCY5	ENSG00000173175
ADRB1	ENSG00000043591
DCAF16	ENSG00000163257
HMGA2	ENSG00000149948
LAP3	ENSG00000002549
LCORL	ENSG00000178177
MED28	ENSG00000118579
MYLK	ENSG00000065534
NCAPG	ENSG00000109805
PDIA5	ENSG00000065485
PTPLB	ENSG00000206527
TAS2R38	ENSG00000257138
HERC2	ENSG00000128731
AC133919.6	NA
CDK10	ENSG00000185324
CENPBD1	ENSG00000177946
DPEP1	ENSG00000015413
SPG7	ENSG00000197912
ASAH1	ENSG00000104763
CCNE1	ENSG00000105173
CLDN16	ENSG00000113946
FAM53A	ENSG00000174137
FGL1	ENSG00000104760
GTPBP1	ENSG00000100226
JRK	ENSG00000234616
LEPREL1	ENSG00000090530
LY6D	ENSG00000167656
LY6K	ENSG00000160886
LYPD2	ENSG00000197353
NAT2	ENSG00000156006
PSCA	ENSG00000167653
PSD3	ENSG00000156011
SLBP	ENSG00000163950
SLURP1	ENSG00000126233
TACC3	ENSG00000013810
TMEM129	ENSG00000168936
WHSC1	ENSG00000109685
PSTPIP2	ENSG00000152229
SIGLEC15	ENSG00000197046
SLC14A1	ENSG00000141469
SLC24A4	ENSG00000140090
IGHMBP2	ENSG00000132740
PPP6R3	ENSG00000110075
TPCN2	ENSG00000162341
CELSR2	ENSG00000143126
PSMA5	ENSG00000143106
PSRC1	ENSG00000134222
SORT1	ENSG00000134243
F10	ENSG00000126218
F7	ENSG00000057593
MCF2L	ENSG00000126217
ACTR1A	ENSG00000138107
ARL3	ENSG00000138175
AS3MT	ENSG00000214435
C10orf32	ENSG00000166275
CNNM2	ENSG00000148842
CUEDC2	ENSG00000107874
NT5C2	ENSG00000076685
OR10AG1	ENSG00000174970
OR4A15	ENSG00000181958
OR4A16	ENSG00000181961
OR4C11	ENSG00000172188
OR4C15	ENSG00000181939
OR4C16	ENSG00000279514
OR4P4	ENSG00000181927
OR4S2	ENSG00000174982
OR5AP2	ENSG00000172464
OR5AR1	ENSG00000172459
OR5AS1	ENSG00000181785
