MSH	ensembl_id	lApprovedUS.EU	Phase.Latest	First.Added	NelsonStatus	symbol
Acromegaly	ENSG00000017427	FALSE	Phase II Clinical Trial	2004-08-17	Phase II Clinical Trial	IGF1
Acromegaly	ENSG00000106128	FALSE	Phase I Clinical Trial	2015-07-27	Absent	GHRHR
Acromegaly	ENSG00000112964	TRUE	Approved	1993-06-15	Approved	GHR
Acromegaly	ENSG00000121853	FALSE	Preclinical	2003-07-07	Unused	GHSR
Acromegaly	ENSG00000132671	FALSE	Phase II Clinical Trial	1998-09-15	Phase II Clinical Trial	SSTR4
Acromegaly	ENSG00000135914	TRUE	Approved	NA	Approved	HTR2B
Acromegaly	ENSG00000139874	TRUE	Approved	2002-11-27	Phase III Clinical Trial	SSTR1
Acromegaly	ENSG00000140443	FALSE	unknown	NA	Unused	IGF1R
Acromegaly	ENSG00000149295	TRUE	Approved	2016-01-28	Approved	DRD2
Acromegaly	ENSG00000162009	TRUE	Approved	1998-09-15	Phase III Clinical Trial	SSTR5
Acromegaly	ENSG00000180616	TRUE	Approved	1998-08-15	Phase III Clinical Trial	SSTR2
Acromegaly	ENSG00000278195	TRUE	Approved	2002-11-27	Phase III Clinical Trial	SSTR3
Acute Chest Syndrome	ENSG00000069764	FALSE	unknown	1998-04-15	Unused	PLA2G10
Acute Chest Syndrome	ENSG00000146070	FALSE	unknown	1998-04-15	Unused	PLA2G7
Acute Chest Syndrome	ENSG00000184381	FALSE	unknown	1998-04-15	Unused	PLA2G6
Acute Chest Syndrome	ENSG00000188257	FALSE	unknown	1998-04-15	Unused	PLA2G2A
Acute Coronary Syndrome	ENSG00000005381	FALSE	Phase I Clinical Trial	2012-08-10	Absent	MPO
Acute Coronary Syndrome	ENSG00000005421	FALSE	Preclinical	2010-04-30	Absent	PON1
Acute Coronary Syndrome	ENSG00000005961	TRUE	Approved	1991-08-15	Approved	ITGA2B
Acute Coronary Syndrome	ENSG00000012779	FALSE	unknown	1994-10-15	Unused	ALOX5
Acute Coronary Syndrome	ENSG00000057593	FALSE	unknown	1992-03-15	Unused	F7
Acute Coronary Syndrome	ENSG00000073756	FALSE	Phase I Clinical Trial	2011-08-25	Phase I Clinical Trial	PTGS2
Acute Coronary Syndrome	ENSG00000087237	FALSE	Phase III Clinical Trial	2001-08-21	Absent	CETP
Acute Coronary Syndrome	ENSG00000088053	FALSE	Phase II Clinical Trial	2004-01-23	Phase II Clinical Trial	GP6
Acute Coronary Syndrome	ENSG00000095303	FALSE	Phase I Clinical Trial	2011-08-25	Phase I Clinical Trial	PTGS1
Acute Coronary Syndrome	ENSG00000101981	FALSE	Phase II Clinical Trial	2004-01-19	Phase II Clinical Trial	F9
Acute Coronary Syndrome	ENSG00000109320	FALSE	unknown	1994-09-15	Unused	NFKB1
Acute Coronary Syndrome	ENSG00000110799	FALSE	unknown	2003-07-09	Unused	VWF
Acute Coronary Syndrome	ENSG00000112062	FALSE	Phase III Clinical Trial	2006-05-19	Absent	MAPK14
Acute Coronary Syndrome	ENSG00000113161	FALSE	unknown	1997-02-15	Phase III Clinical Trial	HMGCR
Acute Coronary Syndrome	ENSG00000117525	FALSE	Phase I Clinical Trial	1992-03-15	Unused	F3
Acute Coronary Syndrome	ENSG00000117601	TRUE	Approved	1989-11-15	Approved	SERPINC1
Acute Coronary Syndrome	ENSG00000118137	FALSE	Phase III Clinical Trial	2006-04-04	Phase II Clinical Trial	APOA1
Acute Coronary Syndrome	ENSG00000122861	FALSE	Preclinical	2013-05-22	Absent	PLAU
Acute Coronary Syndrome	ENSG00000125538	FALSE	unknown	2006-01-18	Phase II Clinical Trial	IL1B
Acute Coronary Syndrome	ENSG00000126218	TRUE	Approved	1992-03-15	Approved	F10
Acute Coronary Syndrome	ENSG00000130203	FALSE	Preclinical	2010-04-30	Preclinical	APOE
Acute Coronary Syndrome	ENSG00000131408	FALSE	Preclinical	2014-07-21	Absent	NR1H2
Acute Coronary Syndrome	ENSG00000143839	FALSE	Phase II Clinical Trial	2000-11-23	Phase II Clinical Trial	REN
Acute Coronary Syndrome	ENSG00000144891	FALSE	Phase III Clinical Trial	1992-05-15	Phase III Clinical Trial	AGTR1
Acute Coronary Syndrome	ENSG00000146070	FALSE	unknown	2000-11-07	Phase III Clinical Trial	PLA2G7
Acute Coronary Syndrome	ENSG00000150782	FALSE	Phase I Clinical Trial	2011-03-26	Unused	IL18
Acute Coronary Syndrome	ENSG00000159640	FALSE	Phase II Clinical Trial	2003-06-05	Unused	ACE
Acute Coronary Syndrome	ENSG00000164111	FALSE	Preclinical	2008-08-15	Preclinical	ANXA5
Acute Coronary Syndrome	ENSG00000169174	FALSE	Phase II Clinical Trial	2009-10-13	Phase II Clinical Trial	PCSK9
Acute Coronary Syndrome	ENSG00000169313	TRUE	Approved	1993-08-15	Approved	P2RY12
Acute Coronary Syndrome	ENSG00000171105	FALSE	Phase III Clinical Trial	NA	Phase III Clinical Trial	INSR
Acute Coronary Syndrome	ENSG00000174175	FALSE	unknown	2006-11-27	Absent	SELP
Acute Coronary Syndrome	ENSG00000180210	TRUE	Approved	1991-02-15	Approved	F2
Acute Coronary Syndrome	ENSG00000181104	FALSE	Phase II Clinical Trial	2003-03-03	Unused	F2R
Acute Coronary Syndrome	ENSG00000185245	FALSE	Phase II Clinical Trial	2009-10-08	Phase II Clinical Trial	GP1BA
Acute Coronary Syndrome	ENSG00000196611	FALSE	unknown	1995-06-15	Unused	MMP1
Acute Coronary Syndrome	ENSG00000205542	FALSE	Phase I Clinical Trial	2012-03-22	Absent	TMSB4X
Acute Coronary Syndrome	ENSG00000213398	FALSE	Phase II Clinical Trial	NA	Absent	LCAT
Acute Coronary Syndrome	ENSG00000259207	TRUE	Approved	1991-08-15	Approved	ITGB3
Acute Coronary Syndrome	ENSG00000269858	FALSE	Preclinical	2008-05-27	Preclinical	EGLN2
Acute Lung Injury	ENSG00000007908	FALSE	Phase I Clinical Trial	1994-02-15	Phase I Clinical Trial	SELE
Acute Lung Injury	ENSG00000019991	FALSE	unknown	2009-01-13	Absent	HGF
Acute Lung Injury	ENSG00000067182	FALSE	Phase II Clinical Trial	2009-11-16	Phase II Clinical Trial	TNFRSF1A
Acute Lung Injury	ENSG00000082781	FALSE	Preclinical	NA	Unused	ITGB5
Acute Lung Injury	ENSG00000091879	FALSE	Preclinical	2006-11-07	Unused	ANGPT2
Acute Lung Injury	ENSG00000106799	FALSE	Preclinical	2003-07-10	Unused	TGFBR1
Acute Lung Injury	ENSG00000112062	FALSE	Phase II Clinical Trial	2003-12-08	Phase II Clinical Trial	MAPK14
Acute Lung Injury	ENSG00000114812	FALSE	Phase I Clinical Trial	2003-12-09	Phase I Clinical Trial	VIPR1
Acute Lung Injury	ENSG00000117525	FALSE	Phase II Clinical Trial	2003-04-08	Phase II Clinical Trial	F3
Acute Lung Injury	ENSG00000128271	FALSE	unknown	1998-08-15	Phase I Clinical Trial	ADORA2A
Acute Lung Injury	ENSG00000130234	FALSE	Phase II Clinical Trial	2007-07-13	Phase II Clinical Trial	ACE2
Acute Lung Injury	ENSG00000130368	FALSE	Preclinical	2010-09-20	Preclinical	MAS1
Acute Lung Injury	ENSG00000136869	FALSE	Preclinical	2009-06-04	Preclinical	TLR4
Acute Lung Injury	ENSG00000138448	FALSE	Preclinical	NA	Unused	ITGAV
Acute Lung Injury	ENSG00000142166	FALSE	Phase III Clinical Trial	NA	Phase III Clinical Trial	IFNAR1
Acute Lung Injury	ENSG00000149021	FALSE	Preclinical	2009-07-17	Absent	SCGB1A1
Acute Lung Injury	ENSG00000159110	FALSE	Phase III Clinical Trial	NA	Phase III Clinical Trial	IFNAR2
Acute Lung Injury	ENSG00000163737	FALSE	Preclinical	2009-12-01	Preclinical	PF4
Acute Lung Injury	ENSG00000165527	FALSE	Preclinical	2014-10-21	Absent	ARF6
Acute Lung Injury	ENSG00000166311	FALSE	Preclinical	2009-10-20	Unused	SMPD1
Acute Lung Injury	ENSG00000168209	FALSE	unknown	2003-10-14	Preclinical	DDIT4
Acute Lung Injury	ENSG00000169429	FALSE	unknown	2005-10-17	Preclinical	CXCL8
Acute Lung Injury	ENSG00000170458	FALSE	unknown	1999-01-25	Unused	CD14
Acute Lung Injury	ENSG00000174175	FALSE	Phase I Clinical Trial	1994-02-15	Phase I Clinical Trial	SELP
Acute Lung Injury	ENSG00000188404	FALSE	Phase I Clinical Trial	1994-02-15	Phase I Clinical Trial	SELL
Acute Lung Injury	ENSG00000197249	FALSE	Preclinical	2009-12-01	Absent	SERPINA1
Acute Lung Injury	ENSG00000197561	FALSE	Approved	1991-08-15	Unused	ELANE
Acute Lung Injury	ENSG00000261371	FALSE	Preclinical	2010-04-29	Absent	PECAM1
Acute Lung Injury	ENSG00000271503	FALSE	Preclinical	2009-12-01	Preclinical	CCL5
Addison Disease	ENSG00000057252	FALSE	Phase II Clinical Trial	NA	Absent	SOAT1
Addison Disease	ENSG00000113580	TRUE	Approved	2014-11-28	Approved	NR3C1
Addison Disease	ENSG00000120088	FALSE	Phase II Clinical Trial	2007-03-15	Absent	CRHR1
Addison Disease	ENSG00000169083	FALSE	unknown	1997-09-15	Unused	AR
Addison Disease	ENSG00000185231	FALSE	Approved	2013-09-03	Absent	MC2R
Adenomatous Polyposis Coli	ENSG00000073756	TRUE	Approved	1996-10-15	Approved	PTGS2
Adenomatous Polyposis Coli	ENSG00000104267	FALSE	unknown	2006-08-11	Absent	CA2
Adenomatous Polyposis Coli	ENSG00000113712	FALSE	Preclinical	2014-08-02	Absent	CSNK1A1
Adenomatous Polyposis Coli	ENSG00000115758	FALSE	Phase III Clinical Trial	1996-05-15	Phase III Clinical Trial	ODC1
Adenomatous Polyposis Coli	ENSG00000116478	FALSE	unknown	2003-02-03	Unused	HDAC1
Adenomatous Polyposis Coli	ENSG00000138735	FALSE	unknown	1994-12-15	Unused	PDE5A
Adenomatous Polyposis Coli	ENSG00000159640	FALSE	Preclinical	2016-12-28	Absent	ACE
Adenomatous Polyposis Coli	ENSG00000168036	FALSE	Phase II Clinical Trial	2007-06-04	Unused	CTNNB1
Adenomatous Polyposis Coli	ENSG00000186642	FALSE	unknown	1994-12-15	Unused	PDE2A
Adenomatous Polyposis Coli	ENSG00000188389	FALSE	Phase I Clinical Trial	2014-11-15	Absent	PDCD1
Adenomatous Polyposis Coli	ENSG00000196591	FALSE	unknown	2003-02-03	Unused	HDAC2
Adenoviridae Infections	ENSG00000100312	FALSE	unknown	2002-03-20	Absent	ACR
Adenoviridae Infections	ENSG00000113580	FALSE	Phase III Clinical Trial	NA	Phase II Clinical Trial	NR3C1
Adenoviridae Infections	ENSG00000114378	FALSE	unknown	2002-03-20	Absent	HYAL1
Adenoviridae Infections	ENSG00000128052	FALSE	Preclinical	2017-12-19	Absent	KDR
Adrenal Gland Neoplasms	ENSG00000037280	FALSE	Phase I Clinical Trial	2003-08-12	Absent	FLT4
Adrenal Gland Neoplasms	ENSG00000057252	FALSE	Phase I Clinical Trial	NA	Absent	SOAT1
Adrenal Gland Neoplasms	ENSG00000066468	FALSE	Phase I Clinical Trial	2009-10-16	Absent	FGFR2
Adrenal Gland Neoplasms	ENSG00000067182	FALSE	Phase I Clinical Trial	2003-05-23	Phase I Clinical Trial	TNFRSF1A
Adrenal Gland Neoplasms	ENSG00000068078	FALSE	Phase I Clinical Trial	2009-10-16	Absent	FGFR3
Adrenal Gland Neoplasms	ENSG00000077782	FALSE	Phase I Clinical Trial	2009-10-16	Absent	FGFR1
Adrenal Gland Neoplasms	ENSG00000101412	FALSE	Phase I Clinical Trial	2001-02-02	Unused	E2F1
Adrenal Gland Neoplasms	ENSG00000102755	FALSE	unknown	2003-12-08	Unused	FLT1
Adrenal Gland Neoplasms	ENSG00000105851	FALSE	Phase I Clinical Trial	2015-09-21	Absent	PIK3CG
Adrenal Gland Neoplasms	ENSG00000106799	FALSE	Phase I Clinical Trial	2003-09-17	Phase I Clinical Trial	TGFBR1
Adrenal Gland Neoplasms	ENSG00000112715	FALSE	Phase I Clinical Trial	2003-08-12	Unused	VEGFA
Adrenal Gland Neoplasms	ENSG00000116016	FALSE	Preclinical	2015-07-29	Absent	EPAS1
Adrenal Gland Neoplasms	ENSG00000123374	FALSE	Phase I Clinical Trial	1997-05-15	Unused	CDK2
Adrenal Gland Neoplasms	ENSG00000128052	FALSE	Phase I Clinical Trial	2003-08-12	Unused	KDR
Adrenal Gland Neoplasms	ENSG00000131724	FALSE	unknown	1996-10-15	Absent	IL13RA1
Adrenal Gland Neoplasms	ENSG00000134058	FALSE	Phase I Clinical Trial	1997-05-15	Absent	CDK7
Adrenal Gland Neoplasms	ENSG00000136807	FALSE	Phase I Clinical Trial	1997-05-15	Absent	CDK9
Adrenal Gland Neoplasms	ENSG00000136931	FALSE	Preclinical	2010-09-02	Preclinical	NR5A1
Adrenal Gland Neoplasms	ENSG00000140443	FALSE	Phase I Clinical Trial	2006-04-25	Unused	IGF1R
Adrenal Gland Neoplasms	ENSG00000141736	FALSE	Phase I Clinical Trial	2003-08-12	Unused	ERBB2
Adrenal Gland Neoplasms	ENSG00000146648	FALSE	Phase I Clinical Trial	2003-08-12	Unused	EGFR
Adrenal Gland Neoplasms	ENSG00000166851	FALSE	Preclinical	2008-04-11	Absent	PLK1
Adrenal Gland Neoplasms	ENSG00000167658	FALSE	unknown	1996-10-15	Absent	EEF2
Adrenal Gland Neoplasms	ENSG00000170558	FALSE	unknown	1999-06-30	Unused	CDH2
Adrenal Gland Neoplasms	ENSG00000174807	FALSE	Phase I Clinical Trial	2004-10-18	Absent	CD248
Adrenal Gland Neoplasms	ENSG00000178568	FALSE	unknown	2003-12-08	Unused	ERBB4
Adrenal Gland Neoplasms	ENSG00000196411	FALSE	Phase I Clinical Trial	2003-08-12	Unused	EPHB4
Adrenal Gland Neoplasms	ENSG00000197122	FALSE	Phase I Clinical Trial	2003-08-12	Unused	SRC
Adrenal Gland Neoplasms	ENSG00000198900	FALSE	unknown	2007-03-28	Unused	TOP1
Adrenoleukodystrophy	ENSG00000101986	FALSE	Phase III Clinical Trial	2005-01-10	Phase II Clinical Trial	ABCD1
Adrenoleukodystrophy	ENSG00000121966	FALSE	unknown	2000-06-06	Unused	CXCR4
Adrenoleukodystrophy	ENSG00000132170	FALSE	Phase III Clinical Trial	NA	Absent	PPARG
Adrenoleukodystrophy	ENSG00000151090	FALSE	Preclinical	2005-04-25	Absent	THRB
Adrenoleukodystrophy	ENSG00000159110	FALSE	unknown	NA	Unused	IFNAR2
Adrenoleukodystrophy	ENSG00000160791	FALSE	unknown	2000-06-06	Unused	CCR5
Adrenoleukodystrophy	ENSG00000171862	FALSE	Preclinical	1999-02-15	Absent	PTEN
Adrenoleukodystrophy	ENSG00000197272	FALSE	Phase III Clinical Trial	2004-08-03	Phase III Clinical Trial	IL27
Adrenoleukodystrophy	ENSG00000198793	FALSE	Preclinical	1999-02-15	Absent	MTOR
Afibrinogenemia	ENSG00000171557	TRUE	Approved	1999-07-08	Approved	FGG
Afibrinogenemia	ENSG00000171560	TRUE	Approved	1999-07-08	Approved	FGA
Afibrinogenemia	ENSG00000171564	TRUE	Approved	1999-07-08	Approved	FGB
Afibrinogenemia	ENSG00000180210	FALSE	Approved	NA	Absent	F2
Agammaglobulinemia	ENSG00000010671	FALSE	Preclinical	2011-05-23	Unused	BTK
Agranulocytosis	ENSG00000198223	TRUE	Approved	NA	Approved	CSF2RA
AIDS Dementia Complex	ENSG00000111537	FALSE	Preclinical	2003-10-06	Unused	IFNG
AIDS Dementia Complex	ENSG00000169403	FALSE	unknown	NA	Unused	PTAFR
AIDS Dementia Complex	ENSG00000172216	FALSE	Preclinical	1994-11-15	Unused	CEBPB
AIDS Dementia Complex	ENSG00000176884	FALSE	Phase II Clinical Trial	NA	Phase II Clinical Trial	GRIN1
AIDS Dementia Complex	ENSG00000197919	FALSE	Preclinical	2003-10-06	Unused	IFNA1
Akathisia, Drug-Induced	ENSG00000128271	FALSE	unknown	1995-06-15	Unused	ADORA2A
Alagille Syndrome	ENSG00000012504	FALSE	Phase II Clinical Trial	1999-03-17	Absent	NR1H4
Albinism	ENSG00000258839	FALSE	Preclinical	2003-06-05	Absent	MC1R
Alcohol-Induced Disorders, Nervous System	ENSG00000111275	FALSE	Phase II Clinical Trial	2007-10-31	Phase II Clinical Trial	ALDH2
Alcoholic Intoxication	ENSG00000111275	FALSE	Preclinical	2014-08-27	Absent	ALDH2
Alcoholism	ENSG00000011677	TRUE	Approved	2009-07-16	Approved	GABRA3
Alcoholism	ENSG00000022355	TRUE	Approved	2009-07-16	Approved	GABRA1
Alcoholism	ENSG00000065989	FALSE	Phase II Clinical Trial	NA	Absent	PDE4A
Alcoholism	ENSG00000069535	FALSE	Preclinical	2012-07-03	Absent	MAOB
Alcoholism	ENSG00000069696	FALSE	Phase II Clinical Trial	1989-12-15	Unused	DRD4
Alcoholism	ENSG00000080644	FALSE	unknown	2010-11-08	Unused	CHRNA3
Alcoholism	ENSG00000082556	TRUE	Approved	1999-04-21	Approved	OPRK1
Alcoholism	ENSG00000087085	FALSE	Preclinical	2002-07-03	Unused	ACHE
Alcoholism	ENSG00000101180	TRUE	Approved	2005-10-18	Unused	HRH3
Alcoholism	ENSG00000102468	FALSE	Phase II Clinical Trial	1989-12-15	Phase II Clinical Trial	HTR2A
Alcoholism	ENSG00000103546	FALSE	Preclinical	2002-02-26	Unused	SLC6A2
Alcoholism	ENSG00000105650	FALSE	Phase II Clinical Trial	NA	Absent	PDE4C
Alcoholism	ENSG00000108576	TRUE	Approved	2002-02-26	Approved	SLC6A4
Alcoholism	ENSG00000111275	FALSE	Phase I Clinical Trial	2007-01-29	Unused	ALDH2
Alcoholism	ENSG00000112038	TRUE	Approved	1999-04-21	Approved	OPRM1
Alcoholism	ENSG00000112541	FALSE	Phase II Clinical Trial	NA	Absent	PDE10A
Alcoholism	ENSG00000113448	FALSE	Phase II Clinical Trial	NA	Absent	PDE4D
Alcoholism	ENSG00000115353	FALSE	Phase II Clinical Trial	1999-06-01	Unused	TACR1
Alcoholism	ENSG00000116329	FALSE	Phase II Clinical Trial	2008-01-29	Phase II Clinical Trial	OPRD1
Alcoholism	ENSG00000117971	FALSE	unknown	2010-11-08	Unused	CHRNB4
Alcoholism	ENSG00000118432	FALSE	unknown	1994-02-15	Unused	CNR1
Alcoholism	ENSG00000120907	FALSE	Phase I Clinical Trial	2007-04-02	Unused	ADRA1A
Alcoholism	ENSG00000121764	FALSE	Preclinical	2012-03-22	Preclinical	HCRTR1
Alcoholism	ENSG00000121853	FALSE	Preclinical	2004-03-12	Unused	GHSR
Alcoholism	ENSG00000125510	FALSE	Phase II Clinical Trial	2009-10-01	Phase I Clinical Trial	OPRL1
Alcoholism	ENSG00000128655	FALSE	Phase II Clinical Trial	NA	Absent	PDE11A
Alcoholism	ENSG00000132170	FALSE	Preclinical	2009-09-28	Preclinical	PPARG
Alcoholism	ENSG00000133019	FALSE	Phase I Clinical Trial	2007-04-02	Unused	CHRM3
Alcoholism	ENSG00000136869	FALSE	Phase II Clinical Trial	NA	Absent	TLR4
Alcoholism	ENSG00000142319	FALSE	Preclinical	2002-02-26	Unused	SLC6A3
Alcoholism	ENSG00000147246	FALSE	Phase II Clinical Trial	1989-12-15	Unused	HTR2C
Alcoholism	ENSG00000149295	FALSE	Phase III Clinical Trial	1989-12-15	Phase II Clinical Trial	DRD2
Alcoholism	ENSG00000150594	FALSE	unknown	NA	Unused	ADRA2A
Alcoholism	ENSG00000151577	FALSE	Phase II Clinical Trial	1989-12-15	Unused	DRD3
Alcoholism	ENSG00000151834	TRUE	Approved	2009-07-16	Approved	GABRA2
Alcoholism	ENSG00000153956	FALSE	Phase II Clinical Trial	2002-11-25	Absent	CACNA2D1
Alcoholism	ENSG00000155511	FALSE	Phase II Clinical Trial	2011-05-26	Phase II Clinical Trial	GRIA1
Alcoholism	ENSG00000158748	FALSE	Phase I Clinical Trial	2007-04-02	Unused	HTR6
Alcoholism	ENSG00000166736	FALSE	Phase II Clinical Trial	2007-04-02	Phase II Clinical Trial	HTR3A
Alcoholism	ENSG00000168539	FALSE	Phase I Clinical Trial	2007-04-02	Unused	CHRM1
Alcoholism	ENSG00000168959	FALSE	Phase II Clinical Trial	2013-05-04	Absent	GRM5
Alcoholism	ENSG00000169836	FALSE	unknown	2009-03-06	Unused	TACR3
Alcoholism	ENSG00000171132	FALSE	Preclinical	2008-04-02	Unused	PRKCE
Alcoholism	ENSG00000176884	FALSE	Phase II Clinical Trial	1998-12-15	Unused	GRIN1
Alcoholism	ENSG00000178394	FALSE	Phase III Clinical Trial	1992-10-15	Phase II Clinical Trial	HTR1A
Alcoholism	ENSG00000179142	FALSE	Preclinical	2009-07-16	Preclinical	CYP11B2
Alcoholism	ENSG00000180720	FALSE	Phase I Clinical Trial	2007-04-02	Unused	CHRM4
Alcoholism	ENSG00000181072	FALSE	Phase I Clinical Trial	2007-04-02	Unused	CHRM2
Alcoholism	ENSG00000183873	FALSE	Phase II Clinical Trial	2011-05-26	Phase II Clinical Trial	SCN5A
Alcoholism	ENSG00000184588	FALSE	Phase II Clinical Trial	NA	Absent	PDE4B
Alcoholism	ENSG00000184845	FALSE	Phase III Clinical Trial	1989-12-15	Phase II Clinical Trial	DRD1
Alcoholism	ENSG00000186297	TRUE	Approved	2009-07-16	Approved	GABRA5
Alcoholism	ENSG00000189221	FALSE	Preclinical	2002-07-03	Unused	MAOA
Alcoholism	ENSG00000196277	FALSE	Preclinical	2011-04-26	Unused	GRM7
Alcoholism	ENSG00000196517	FALSE	Phase II Clinical Trial	2006-03-27	Unused	SLC6A9
Alcoholism	ENSG00000196639	FALSE	unknown	2002-04-03	Phase II Clinical Trial	HRH1
Alcoholism	ENSG00000198049	FALSE	Phase II Clinical Trial	2010-01-18	Preclinical	AVPR1B
Alcoholism	ENSG00000240972	FALSE	Phase II Clinical Trial	NA	Absent	MIF
Alkaptonuria	ENSG00000158104	FALSE	Phase II Clinical Trial	1992-11-15	Absent	HPD
Alopecia	ENSG00000017427	FALSE	Preclinical	2014-05-12	Absent	IGF1
Alopecia	ENSG00000069431	FALSE	Pre-registration	2016-11-08	Absent	ABCC9
Alopecia	ENSG00000100985	FALSE	Preclinical	1995-01-15	Unused	MMP9
Alopecia	ENSG00000105639	FALSE	Preclinical	2008-08-11	Absent	JAK3
Alopecia	ENSG00000105976	FALSE	Preclinical	2007-07-04	Unused	MET
Alopecia	ENSG00000106799	FALSE	Preclinical	2012-11-16	Preclinical	TGFBR1
Alopecia	ENSG00000111424	FALSE	Phase I Clinical Trial	2012-05-17	Phase I Clinical Trial	VDR
Alopecia	ENSG00000112115	FALSE	unknown	NA	Phase II Clinical Trial	IL17A
Alopecia	ENSG00000115232	FALSE	unknown	NA	Phase II Clinical Trial	ITGA4
Alopecia	ENSG00000121361	FALSE	Pre-registration	1992-11-15	Unused	KCNJ8
Alopecia	ENSG00000122420	FALSE	Phase II Clinical Trial	1991-07-15	Phase II Clinical Trial	PTGFR
