Original	UI	MSH
huntington disease	D006816	Huntington Disease
potassium channels, voltage-gated	D024642	Potassium Channels, Voltage-Gated
membrane transport proteins	D026901	Membrane Transport Proteins
klotho protein		NA
antigens, cd	D015703	Antigens, CD
aortic aneurysm, abdominal	D017544	Aortic Aneurysm, Abdominal
acenocoumarol	D000074	Acenocoumarol
partial thromboplastin time	D010314	Partial Thromboplastin Time
precursor cell lymphoblastic leukemia-lymphoma	D054198	Precursor Cell Lymphoblastic Leukemia-Lymphoma
adiponectin	D052242	Adiponectin
adiposity	D050154	Adiposity
macular degeneration	D008268	Macular Degeneration
choroidal neovascularization	D020256	Choroidal Neovascularization
wet macular degeneration	D057135	Wet Macular Degeneration
aging	D000375	Aging
skin aging	D015595	Skin Aging
acquired immunodeficiency syndrome	D000163	Acquired Immunodeficiency Syndrome
airway obstruction	D000402	Airway Obstruction
alcohol drinking	D000428	Alcohol Drinking
alcoholism	D000437	Alcoholism
alopecia areata	D000506	Alopecia Areata
serum amyloid a protein	D000685	Serum Amyloid A Protein
amyotrophic lateral sclerosis	D000690	Amyotrophic Lateral Sclerosis
androgens	D000728	Androgens
angiotensins	D000809	Angiotensins
ankle brachial index	D055109	Ankle Brachial Index
spondylitis, ankylosing	D013167	Spondylitis, Ankylosing
anticoagulants	D000925	Anticoagulants
aortic aneurysm	D001014	Aortic Aneurysm
apolipoprotein a-ii	D016633	Apolipoprotein A-II
aspartate aminotransferases	D001219	Aspartate Aminotransferases
dermatitis, atopic	D003876	Dermatitis, Atopic
atrial fibrillation	D001281	Atrial Fibrillation
carcinoma, basal cell	D002280	Carcinoma, Basal Cell
behcet syndrome	D001528	Behcet Syndrome
intramolecular oxidoreductases	D019746	Intramolecular Oxidoreductases
beta-thalassemia	D017086	beta-Thalassemia
biliary atresia	D001656	Biliary Atresia
bilirubin	D001663	Bilirubin
bipolar disorder	D001714	Bipolar Disorder
birth weight	D001724	Birth Weight
taste disorders	D013651	Taste Disorders
hair diseases	D006201	Hair Diseases
urinary bladder neoplasms	D001749	Urinary Bladder Neoplasms
hyperlipidemias	D006949	Hyperlipidemias
blood [subheading]		NA
blood pressure	D001794	Blood Pressure
color vision defects	D003117	Color Vision Defects
thinness	D013851	Thinness
body mass index	D015992	Body Mass Index
bone density	D015519	Bone Density
brain	D001921	Brain
breast neoplasms	D001943	Breast Neoplasms
breast neoplasms, male	D018567	Breast Neoplasms, Male
breast diseases	D001941	Breast Diseases
pigmentation disorders	D010859	Pigmentation Disorders
c-reactive protein	D002097	C-Reactive Protein
psychoses, substance-induced	D011605	Psychoses, Substance-Induced
arrhythmias, cardiac	D001145	Arrhythmias, Cardiac
romano-ward syndrome	D029597	Romano-Ward Syndrome
heart diseases	D006331	Heart Diseases
cardiovascular disease	D002318	Cardiovascular Diseases
carotid intima-media thickness	D059168	Carotid Intima-Media Thickness
arthritis, rheumatoid	D001172	Arthritis, Rheumatoid
glaucoma	D005901	Glaucoma
sickle cell trait	D012805	Sickle Cell Trait
cholesterol	D002784	Cholesterol
hepatitis c, chronic	D019698	Hepatitis C, Chronic
kidney failure, chronic	D007676	Kidney Failure, Chronic
acute kidney injury	D058186	Acute Kidney Injury
leukemia, lymphocytic, chronic, b-cell	D015451	Leukemia, Lymphocytic, Chronic, B-Cell
leukemia, myelogenous, chronic, bcr-abl positive	D015464	Leukemia, Myelogenous, Chronic, BCR-ABL Positive
pulmonary disease, chronic obstructive	D029424	Pulmonary Disease, Chronic Obstructive
dna	D004247	DNA
vasoactive intestinal peptide	D014660	Vasoactive Intestinal Peptide
blood coagulation factors	D001779	Blood Coagulation Factors
coffee	D003069	Coffee
mild cognitive impairment	D060825	Cognitive Dysfunction
executive function	D056344	Executive Function
neuropsychological tests	D009483	Neuropsychological Tests
colorectal neoplasms	D015179	Colorectal Neoplasms
genetic phenomena	D055614	Genetic Phenomena
complement system proteins	D003165	Complement System Proteins
conduct disorder	D019955	Conduct Disorder
astigmatism	D001251	Astigmatism
corneal wavefront aberration	D057108	Corneal Wavefront Aberration
cornea	D003315	Cornea
vascular calcification	D061205	Vascular Calcification
coronary artery disease	D003324	Coronary Artery Disease
coronary disease	D003327	Coronary Disease
malformations of cortical development	D054220	Malformations of Cortical Development
cobblestone lissencephaly	D054222	Cobblestone Lissencephaly
creutzfeldt-jakob syndrome	D007562	Creutzfeldt-Jakob Syndrome
crohn disease	D003424	Crohn Disease
nevus	D009506	Nevus
cystatin c	D055316	Cystatin C
cystic fibrosis	D003550	Cystic Fibrosis
fibrin fibrinogen degradation products	D005338	Fibrin Fibrinogen Degradation Products
dengue hemorrhagic fever	D019595	Severe Dengue
dental caries	D003731	Dental Caries
diabetes, gestational	D016640	Diabetes, Gestational
diabetic nephropathies	D003928	Diabetic Nephropathies
diabetic retinopathy	D003930	Diabetic Retinopathy
hypertension	D006973	Hypertension
dietary supplements	D019587	Dietary Supplements
fingers	D005385	Fingers
cardiomyopathy, dilated	D002311	Cardiomyopathy, Dilated
drinking behavior	D004327	Drinking Behavior
floxacillin	D005436	Floxacillin
duodenal ulcer	D004381	Duodenal Ulcer
e-selectin	D019040	E-Selectin
electrocardiography	D004562	Electrocardiography
electroencephalography	D004569	Electroencephalography
blood coagulation	D001777	Blood Coagulation
kidney diseases	D007674	Kidney Diseases
endometrial neoplasms	D016889	Endometrial Neoplasms
endometriosis	D004715	Endometriosis
epilepsy	D004827	Epilepsy
leukopenia	D007970	Leukopenia
blood sedimentation	D001799	Blood Sedimentation
esophageal neoplasms	D004938	Esophageal Neoplasms
gastrointestinal neoplasms	D005770	Gastrointestinal Neoplasms
sarcoma, ewing	D012512	Sarcoma, Ewing
fetal hemoglobin	D005319	Fetal Hemoglobin
facial asymmetry	D005146	Facial Asymmetry
factor vii	D005167	Factor VII
glucose metabolism disorders	D044882	Glucose Metabolism Disorders
metabolism, inborn errors	D008661	Metabolism, Inborn Errors
glucose tolerance test	D005951	Glucose Tolerance Test
fibrinogen	D005340	Fibrinogen
folic acid deficiency	D005494	Folic Acid Deficiency
melanosis	D008548	Melanosis
fuchs' endothelial dystrophy	D005642	Fuchs' Endothelial Dystrophy
gallbladder neoplasms	D005706	Gallbladder Neoplasms
gallstones	D042882	Gallstones
gamma-glutamyltransferase	D005723	gamma-Glutamyltransferase
stomach neoplasms	D013274	Stomach Neoplasms
exfoliation syndrome	D017889	Exfoliation Syndrome
glaucoma, open-angle	D005902	Glaucoma, Open-Angle
glioma	D005910	Glioma
glioblastoma	D005909	Glioblastoma
glomerulosclerosis, focal segmental	D005923	Glomerulosclerosis, Focal Segmental
hemoglobin a, glycosylated	D006442	Hemoglobin A, Glycosylated
gout	D006073	Gout
graves disease	D006111	Graves Disease
quantitative trait, heritable	D019655	Quantitative Trait, Heritable
hemoglobinuria	D006456	Hemoglobinuria
narcolepsy	D009290	Narcolepsy
intercellular signaling peptides and proteins	D036341	Intercellular Signaling Peptides and Proteins
iron deficiency anemia	D018798	Anemia, Iron-Deficiency
blood group antigens	D001789	Blood Group Antigens
haptoglobins	D006242	Haptoglobins
hemoglobin a2	D006443	Hemoglobin A2
cholesterol, hdl	D008076	Cholesterol, HDL
embolism, cholesterol	D017700	Embolism, Cholesterol
microcephaly	D008831	Microcephaly
body height	D001827	Body Height
hematocrit	D006400	Hematocrit
hematologic diseases	D006402	Hematologic Diseases
hematologic agents	D006401	Hematologic Agents
hemoglobins	D006454	Hemoglobins
hemostatic disorders	D020141	Hemostatic Disorders
hepatitis b	D006509	Hepatitis B
carcinoma, hepatocellular	D006528	Carcinoma, Hepatocellular
hepatitis b virus	D006515	Hepatitis B virus
hippocampus	D006624	Hippocampus
hirschsprung disease	D006627	Hirschsprung Disease
hodgkin disease	D006689	Hodgkin Disease
homocysteine	D006710	Homocysteine
memory, episodic	D061212	Memory, Episodic
hypertriglyceridemia	D015228	Hypertriglyceridemia
hypothyroidism	D007037	Hypothyroidism
thrombocytopenia	D013921	Thrombocytopenia
glomerulonephritis, iga	D005922	Glomerulonephritis, IGA
hypersensitivity, immediate	D006969	Hypersensitivity, Immediate
immunoglobulin e	D007073	Immunoglobulin E
igg deficiency	D017099	IgG Deficiency
hyper-igm immunodeficiency syndrome	D053306	Hyper-IgM Immunodeficiency Syndrome
smallpox	D012899	Smallpox
iga deficiency	D017098	IgA Deficiency
pyloric stenosis, hypertrophic	D046248	Pyloric Stenosis, Hypertrophic
inflammation	D007249	Inflammation
inflammatory bowel diseases	D015212	Inflammatory Bowel Diseases
somatomedins	D013002	Somatomedins
intelligence	D007360	Intelligence
interleukin-18	D020382	Interleukin-18
intracranial aneurysm	D002532	Intracranial Aneurysm
ocular hypertension	D009798	Ocular Hypertension
iris diseases	D007499	Iris Diseases
mucocutaneous lymph node syndrome	D009080	Mucocutaneous Lymph Node Syndrome
keloid	D007627	Keloid
kidney calculi	D007669	Kidney Calculi
quinazolines	D011799	Quinazolines
lipoproteins, ldl	D008077	Lipoproteins, LDL
cholesterol, ldl	D008078	Cholesterol, LDL
hypertrophy, left ventricular	D017379	Hypertrophy, Left Ventricular
dyslipidemias	D050171	Dyslipidemias
hypercholesterolemia	D006937	Hypercholesterolemia
1-alkyl-2-acetylglycerophosphocholine esterase	D043203	1-Alkyl-2-acetylglycerophosphocholine Esterase
lipoprotein(a)	D017270	Lipoprotein(a)
drug-induced liver injury	D056486	Chemical and Drug Induced Liver Injury
longevity	D008136	Longevity
lung neoplasms	D008175	Lung Neoplasms
lymphocytosis	D008218	Lymphocytosis
mood disorders	D019964	Mood Disorders
malaria	D008288	Malaria
alopecia	D000505	Alopecia
erythrocyte indices	D004909	Erythrocyte Indices
platelet count	D010976	Platelet Count
melanoma	D008545	Melanoma
premenstrual syndrome	D011293	Premenstrual Syndrome
menstruation disturbances	D008599	Menstruation Disturbances
meningitis, meningococcal	D008585	Meningitis, Meningococcal
metabolic syndrome x	D024821	Metabolic Syndrome X
metabolomics	D055432	Metabolomics
methotrexate	D008727	Methotrexate
migraine disorders	D008881	Migraine Disorders
monocyte chemoattractant proteins	D018945	Monocyte Chemoattractant Proteins
monocytes	D009000	Monocytes
neoplasms	D009369	Neoplasms
immune complex diseases	D007105	Immune Complex Diseases
quantitative trait loci	D040641	Quantitative Trait Loci
multiple myeloma	D009101	Multiple Myeloma
multiple sclerosis	D009103	Multiple Sclerosis
biological markers	D015415	Biomarkers
myeloproliferative disorders	D009196	Myeloproliferative Disorders
myocardial infarction	D009203	Myocardial Infarction
myopia, degenerative	D047728	Myopia, Degenerative
membrane proteins	D008565	Membrane Proteins
nasopharyngeal neoplasms	D009303	Nasopharyngeal Neoplasms
natriuretic peptides	D045265	Natriuretic Peptides
nephrolithiasis	D053040	Nephrolithiasis
glomerulonephritis, membranous	D015433	Glomerulonephritis, Membranous
costello syndrome	D056685	Costello Syndrome
neuroblastoma	D009447	Neuroblastoma
neutropenia	D009503	Neutropenia
tobacco use disorder	D014029	Tobacco Use Disorder
serum albumin	D012709	Serum Albumin
azoospermia	D053713	Azoospermia
carcinoma, non-small-cell lung	D002289	Carcinoma, Non-Small-Cell Lung
fatty liver	D005234	Fatty Liver
optic disk	D009898	Optic Disk
osteoarthritis	D010003	Osteoarthritis
osteoporosis	D010024	Osteoporosis
erythrocytes, abnormal	D004913	Erythrocytes, Abnormal
ovarian neoplasms	D010051	Ovarian Neoplasms
osteitis deformans	D010001	Osteitis Deformans
pain	D010146	Pain
pancreatic neoplasms	D010190	Pancreatic Neoplasms
pancreatitis	D010195	Pancreatitis
panic disorder	D016584	Panic Disorder
pericardium	D010496	Pericardium
periodontitis	D010518	Periodontitis
personality assessment	D010552	Personality Assessment
complement c4b-binding protein	D050716	Complement C4b-Binding Protein
antioxidants	D000975	Antioxidants
eosinophilia	D004802	Eosinophilia
homocystinuria	D006712	Homocystinuria
vitamin b12 deficiency	D014806	Vitamin B 12 Deficiency
liver failure	D017093	Liver Failure
protein c deficiency	D020151	Protein C Deficiency
hyperlipoproteinemias	D006951	Hyperlipoproteinemias
plasminogen activator inhibitor 1	D017395	Plasminogen Activator Inhibitor 1
thrombosis	D013927	Thrombosis
blood platelet disorders	D001791	Blood Platelet Disorders
polycystic ovary syndrome	D011085	Polycystic Ovary Syndrome
wolff-parkinson-white syndrome	D014927	Wolff-Parkinson-White Syndrome
cholangitis, sclerosing	D015209	Cholangitis, Sclerosing
dentition, primary	D014094	Tooth, Deciduous
prion diseases	D017096	Prion Diseases
grn protein, human		NA
supranuclear palsy, progressive	D013494	Supranuclear Palsy, Progressive
proinsulin	D011384	Proinsulin
prostate-specific antigen	D017430	Prostate-Specific Antigen
diabetes complications	D048909	Diabetes Complications
prothrombin time	D011517	Prothrombin Time
arthritis, psoriatic	D015535	Arthritis, Psoriatic
lung diseases	D008171	Lung Diseases
respiratory function tests	D012129	Respiratory Function Tests
long qt syndrome	D008133	Long QT Syndrome
recombination, genetic	D011995	Recombination, Genetic
carcinoma, renal cell	D002292	Carcinoma, Renal Cell
renal insufficiency, chronic	D051436	Renal Insufficiency, Chronic
resistin	D052243	Resistin
ticlopidine	D013988	Ticlopidine
fenofibrate	D011345	Fenofibrate
hepatitis c	D006526	Hepatitis C
metformin	D008687	Metformin
hydroxymethylglutaryl-coa reductase inhibitors	D019161	Hydroxymethylglutaryl-CoA Reductase Inhibitors
dacarbazine	D003606	Dacarbazine
vitamin e deficiency	D014811	Vitamin E Deficiency
heart rate	D006339	Heart Rate
restless legs syndrome	D012148	Restless Legs Syndrome
retinal vasculitis	D031300	Retinal Vasculitis
vitamin a deficiency	D014802	Vitamin A Deficiency
retinal diseases	D012164	Retinal Diseases
anemia	D000740	Anemia
craniosynostoses	D003398	Craniosynostoses
sarcoidosis	D012507	Sarcoidosis
bile duct diseases	D001649	Bile Duct Diseases
scoliosis	D012600	Scoliosis
blood proteins	D001798	Blood Proteins
hyperbilirubinemia	D006932	Hyperbilirubinemia
cholinesterases	D002802	Cholinesterases
hypocalcemia	D006996	Hypocalcemia
dehydroepiandrosterone sulphate		NA
anemia, iron-deficiency	D018798	Anemia, Iron-Deficiency
hyperlipoproteinemia type ii	D006938	Hyperlipoproteinemia Type II
magnesium deficiency	D008275	Magnesium Deficiency
matrix metalloproteinases	D020782	Matrix Metalloproteinases
phosphorus metabolism disorders	D010760	Phosphorus Metabolism Disorders
phytosterols	D010840	Phytosterols
urinary calculi	D014545	Urinary Calculi
hyperuricemia	D033461	Hyperuricemia
sex hormone-binding globulin	D012738	Sex Hormone-Binding Globulin
skin pigmentation	D012880	Skin Pigmentation
photophobia	D020795	Photophobia
smoking	D012907	Smoking
smoking cessation	D016540	Smoking Cessation
intercellular adhesion molecule-1	D018799	Intercellular Adhesion Molecule-1
receptors, leptin	D054411	Receptors, Leptin
cell adhesion molecules	D015815	Cell Adhesion Molecules
sphingolipidoses	D013106	Sphingolipidoses
carcinoma, squamous cell	D002294	Carcinoma, Squamous Cell
stroke	D020521	Stroke
death, sudden, cardiac	D016757	Death, Sudden, Cardiac
scleroderma, systemic	D012595	Scleroderma, Systemic
tanning	D013633	Tanning
telomere	D016615	Telomere
testicular neoplasms	D013736	Testicular Neoplasms
neoplasms, germ cell and embryonal	D009373	Neoplasms, Germ Cell and Embryonal
testosterone	D013739	Testosterone
hydrochlorothiazide	D006852	Hydrochlorothiazide
aortic aneurysm, thoracic	D017545	Aortic Aneurysm, Thoracic
thyroid neoplasms	D013964	Thyroid Neoplasms
thyroid diseases	D013959	Thyroid Diseases
thyroid hormones	D013963	Thyroid Hormones
triglycerides	D014280	Triglycerides
diabetes mellitus, type 1	D003922	Diabetes Mellitus, Type 1
diabetes mellitus, type 2	D003924	Diabetes Mellitus, Type 2
hyperinsulinism	D006946	Hyperinsulinism
colitis, ulcerative	D003093	Colitis, Ulcerative
head and neck neoplasms	D006258	Head and Neck Neoplasms
uric acid	D014527	Uric Acid
albuminuria	D000419	Albuminuria
renal tubular transport, inborn errors	D015499	Renal Tubular Transport, Inborn Errors
leiomyoma	D007889	Leiomyoma
vascular endothelial growth factor a	D042461	Vascular Endothelial Growth Factor A
venous thromboembolism	D054556	Venous Thromboembolism
atrioventricular block	D054537	Atrioventricular Block
vitamin b 12 deficiency	D014806	Vitamin B 12 Deficiency
vitamin d deficiency	D014808	Vitamin D Deficiency
vitiligo	D014820	Vitiligo
waist-hip ratio	D049629	Waist-Hip Ratio
waist circumference	D055105	Waist Circumference
warfarin	D014859	Warfarin
leukocyte count	D007958	Leukocyte Count
leukocytes	D007962	Leukocytes
leukoencephalopathies	D056784	Leukoencephalopathies
wilms tumor	D009396	Wilms Tumor
arrhythmogenic right ventricular dysplasia, familial, 5		NA
dystonia musculorum deformans 4		NA
n syndrome		NA
phosphoenolpyruvate carboxykinase deficiency		NA
ptosis, hereditary congenital 1		NA
sarcoma, synovial	D013584	Sarcoma, Synovial
testicular microlithiasis		NA
dystransthyretinemic euthyroidal hyperthyroxinemia		NA
polycythemia, primary familial and congenital		NA
fructosuria		NA
gilbert disease	D005878	Gilbert Disease
tay-sachs disease	D013661	Tay-Sachs Disease
histidinemia		NA
phenylketonurias	D010661	Phenylketonurias
familial apoceruloplasmin deficiency		NA
ige responsiveness, atopic		NA
flaujeac factor deficiency		NA
sarcosinemia		NA
long qt syndrome 2		NA
macular degeneration, age-related, 1		NA
hiv infections	D015658	HIV Infections
oculocutaneous albinism type 2		NA
allergic rhinitis	D065631	Rhinitis, Allergic
amyotrophic lateral sclerosis 1		NA
anorexia nervosa	D000856	Anorexia Nervosa
bulimia nervosa	D052018	Bulimia Nervosa
anxiety disorders	D001008	Anxiety Disorders
anemia, aplastic	D000741	Anemia, Aplastic
asthma, nasal polyps, and aspirin intolerance		NA
atrioventricular septal defect, partial, with heterotaxy syndrome		NA
atypical mycobacteriosis, familial, x-linked 1		NA
autoimmune diseases	D001327	Autoimmune Diseases
bardet-biedl syndrome	D020788	Bardet-Biedl Syndrome
benign essential blepharospasm		NA
bronchiectasis with or without elevated sweat chloride 1		NA
budd-chiari syndrome	D006502	Budd-Chiari Syndrome
buruli ulcer	D054312	Buruli Ulcer
cardiac conduction defect		NA
cerebral infarction	D002544	Cerebral Infarction
cirrhosis, familial		NA
renal hypodysplasia, nonsyndromic, 1		NA
coronary artery disease, autosomal dominant, 1		NA
coronary artery disease, autosomal dominant 2		NA
deafness, autosomal recessive 12		NA
deafness, aminoglycoside-induced		NA
drug metabolism, poor, cyp2d6-related		NA
thrombophilia, x-linked, due to factor ix defect		NA
dermatitis, atopic, 2		NA
diabetes mellitus, insulin-dependent, 22		NA
diabetes mellitus, insulin-dependent, 5		NA
diabetes mellitus, insulin-dependent, 12		NA
diabetes mellitus, noninsulin-dependent, 1		NA
diabetes mellitus, transient neonatal, 1		NA
diabetes mellitus, insulin-dependent, 10		NA
epilepsies, myoclonic	D004831	Epilepsies, Myoclonic
epilepsy, absence	D004832	Epilepsy, Absence
epilepsy, generalized	D004829	Epilepsy, Generalized
tremor hereditary essential, 1		NA
tropical calcific pancreatitis		NA
helicobacter infections	D016481	Helicobacter Infections
hemangioma, capillary infantile		NA
atypical hemolytic uremic syndrome	D065766	Atypical Hemolytic Uremic Syndrome
encephalitis, herpes simplex	D020803	Encephalitis, Herpes Simplex
hemochromatosis	D006432	Hemochromatosis
hypercalciuria, absorptive, 2		NA
hypertension, diastolic, resistance to		NA
hypothalamic hamartomas		NA
hashimoto disease	D050031	Hashimoto Disease
inflammatory bowel disease 10		NA
inflammatory bowel disease 13		NA
inflammatory bowel disease 14		NA
inflammatory bowel disease 17		NA
intervertebral disc disease		NA
intracranial arteriovenous malformations	D002538	Intracranial Arteriovenous Malformations
sarcoma, kaposi	D012514	Sarcoma, Kaposi
porphyria, acute hepatic		NA
legionnaires' disease	D007877	Legionnaires' Disease
lewy body disease	D020961	Lewy Body Disease
lipodystrophy, partial, acquired		NA
hypercholesterolemia, autosomal dominant, 3		NA
lymphoma, follicular	D008224	Lymphoma, Follicular
macular degeneration, age-related, 10		NA
macular degeneration, age-related, 4		NA
macular degeneration, age-related, 9		NA
macular degeneration, age-related, 7		NA
major affective disorder 7		NA
testicular germ cell tumor		NA
malignant hyperthermia susceptibility type 1		NA
malignant hyperthermia susceptibility type 5		NA
medulloblastoma	D008527	Medulloblastoma
meningioma, familial		NA
mesothelioma	D008654	Mesothelioma
abdominal obesity metabolic syndrome		NA
moyamoya disease 2		NA
keratoacanthoma familial		NA
mycobacterium infections, nontuberculous	D009165	Mycobacterium Infections, Nontuberculous
neural tube defect, folate-sensitive		NA
neural tube defects	D009436	Neural Tube Defects
nevus, epidermal		NA
obsessive-compulsive disorder	D009771	Obsessive-Compulsive Disorder
opioid-related disorders	D009293	Opioid-Related Disorders
ossification of the posterior longitudinal ligament of the spine		NA
hereditary pancreatitis		NA
pheochromocytoma	D010673	Pheochromocytoma
invasive pneumococcal disease, recurrent isolated, 1		NA
fetal membranes, premature rupture	D005322	Fetal Membranes, Premature Rupture
prostate cancer, hereditary, 12		NA
prostate cancer, hereditary, 13		NA
pseudofolliculitis barbae		NA
pseudoxanthoma elasticum	D011561	Pseudoxanthoma Elasticum
idiopathic pulmonary fibrosis	D054990	Idiopathic Pulmonary Fibrosis
alveolar capillary dysplasia		NA
usher syndrome, type 2a		NA
arthritis, juvenile	D001171	Arthritis, Juvenile
sudden infant death	D013398	Sudden Infant Death
thrombophilia	D019851	Thrombophilia
thrombophilia due to activated protein c resistance		NA
thyroid cancer, follicular		NA
thyroid cancer, hurthle cell		NA
tuberous sclerosis	D014402	Tuberous Sclerosis
hypouricemia, renal, 2		NA
von hippel-lindau disease	D006623	von Hippel-Lindau Disease
coumarin resistance		NA
west nile fever	D014901	West Nile Fever
adrenal hyperplasia, congenital, type 5		NA
hydroxyacyl-coa dehydrogenase, type 2, deficiency		NA
2-methylbutyryl-coa dehydrogenase deficiency		NA
adrenal hyperplasia 2		NA
3-hydroxyacyl-coa dehydrogenase deficiency		NA
beta-hydroxyisobutyryl coa deacylase deficiency		NA
three m syndrome 2		NA
3-methylcrotonyl coa carboxylase 1 deficiency		NA
3-methylcrotonyl coa carboxylase 2 deficiency		NA
3-methylglutaconic aciduria, type i		NA
costeff optic atrophy syndrome		NA
3-methylglutaconic aciduria, type v		NA
46,xy gonadal dysgenesis, partial, with minifascicular neuropathy		NA
dosage-sensitive sex reversal		NA
46, xy sex reversal 5		NA
46,xy gonadal dysgenesis, complete or partial, dhh-related		NA
abcd syndrome		NA
abetalipoproteinemia	D000012	Abetalipoproteinemia
acyl-coa dehydrogenase family, member 9, deficiency of		NA
achalasia addisonianism alacrimia syndrome		NA
acheiropodia		NA
achondrogenesis type 1b		NA
achondrogenesis type 1a		NA
achondrogenesis type 2		NA
achondroplasia	D000130	Achondroplasia
achromatopsia 2		NA
achromatopsia 3		NA
hidradenitis suppurativa, familial		NA
acrocapitofemoral dysplasia		NA
acrodermatitis enteropathica		NA
acrofacial dysostosis, nager type		NA
growth hormone-secreting pituitary adenoma	D049912	Growth Hormone-Secreting Pituitary Adenoma
acromesomelic dysplasia, maroteaux type		NA
acth-independent macronodular adrenal hyperplasia		NA
medium chain acyl coa dehydrogenase deficiency		NA
short chain acyl coa dehydrogenase deficiency		NA
adams oliver syndrome		NA
colorectal adenomatous polyposis, autosomal recessive		NA
salivary gland adenoma, pleomorphic		NA
adenosine triphosphate, elevated, of erythrocytes		NA
adenylosuccinate lyase deficiency		NA
adrenocortical carcinoma, hereditary		NA
congenital adrenal hyperplasia due to 11-beta-hydroxylase deficiency		NA
adrenal hyperplasia, congenital	D000312	Adrenal Hyperplasia, Congenital
acth deficiency, isolated		NA
adrenoleukodystrophy	D000326	Adrenoleukodystrophy
propping zerres syndrome		NA
advanced sleep-phase syndrome, familial		NA
afibrinogenemia congenital	D000347	Afibrinogenemia
agammaglobulinemia	D000361	Agammaglobulinemia
hypogammaglobulinemia and isolated growth hormone deficiency, x-linked		NA
bruton type agammaglobulinemia		NA
corpus callosum agenesis neuronopathy		NA
dysgnathia complex		NA
aicardi-goutieres syndrome		NA
aicardi-goutieres syndrome 3		NA
aicardi-goutieres syndrome 4		NA
